p	SIGMA	TMASS	CRATIO	EXCESS	H
192161	-1.551956	1.66015625	1.23795978656	1.93570283293	0.34104214695
192193	-1.552196	1.15234375	0.859326120343	0.446775041485	0.340985363671
192737	-1.556274	1.12890625	0.842452932979	0.379110458629	0.340022932805
192833	-1.556992	1.2265625	0.91544512696	0.666647235256	0.339853655754
192961	-1.557950	1.58203125	1.18094799158	1.71373055667	0.339628215028
193057	-1.558667	1.166015625	0.870512152409	0.48905895347	0.339459330664
193153	-1.559385	1.40625	1.0499961585	1.19735112917	0.339290614176
193441	-1.561534	1.2578125	0.93951759164	0.760990429732	0.338785469471
193601	-1.562727	1.2421875	0.928040651193	0.715461084726	0.338505482926
193793	-1.564157	1.09765625	0.820266603129	0.288778479534	0.338170109343
194017	-1.565824	1.01953125	0.762106994095	0.0578224541276	0.3377796791
194113	-1.566537	1.31640625	0.984146099359	0.937187249657	0.337612627696
194977	-1.572944	1.1103515625	0.831028960668	0.328313368453	0.336116567595
195137	-1.574128	1.2421875	0.929891749737	0.721137440871	0.335840973265
195329	-1.575547	1.298828125	0.972532809541	0.890666038424	0.335510856043
195457	-1.576492	1.2265625	0.918573084855	0.675718723774	0.335291138204
195809	-1.579088	1.203125	0.901427632259	0.606907806897	0.334688395324
196033	-1.580737	1.1328125	0.848990063052	0.39727829118	0.334305958691
196193	-1.581914	1.423828125	1.06731076281	1.26881988751	0.334033324329
196769	-1.586143	1.2265625	0.920113595532	0.680254468032	0.333055511793
196961	-1.587550	1.30078125	0.976026971006	0.903977657454	0.332730845193
196993	-1.587785	1.236328125	0.927702897703	0.710383555781	0.332676795622
197089	-1.588488	1.443359375	1.08318453705	1.33335249652	0.332514752219
197441	-1.591062	1.3984375	1.04993953227	1.20039518482	0.331921941238
197569	-1.591997	1.36328125	1.02370968621	1.09518750715	0.331706897337
197921	-1.594565	1.1025390625	0.828281131533	0.309676261373	0.331116960808
198017	-1.595265	1.455078125	1.09325751684	1.37503936947	0.330956433034
198241	-1.596896	1.16015625	0.871916077112	0.484466852159	0.330582472849
198337	-1.597594	1.4140625	1.0628672768	1.25313060292	0.330422462778
198529	-1.598990	1.447265625	1.08808545377	1.3549278594	0.33010290688
198593	-1.599455	1.32421875	0.995655796503	0.982491404879	0.329996525557
198689	-1.600152	1.53515625	1.1543942267	1.62248661259	0.329837082073
198817	-1.601082	1.42578125	1.07231854036	1.29171512598	0.32962473028
198977	-1.602242	1.103515625	0.830110650994	0.314293560931	0.329359674736
199457	-1.605718	1.21484375	0.914401528513	0.653880977245	0.328567059567
199489	-1.605950	1.109375	0.83504931393	0.33293826772	0.328514354175
199777	-1.608031	1.451171875	1.09271636289	1.3753530735	0.328040765453
