B/7177 n=227700 nsub=56925 hits=7808 rung={12: 4858, 16: 428, 24: 3} win={12: 4858, 16: 428, 24: 3} prime={12: 275, 16: 24, 24: 1} maxv2=18
B/7177 n=368700 nsub=92175 hits=12722 rung={12: 7849, 16: 690, 24: 4} win={12: 7849, 16: 690, 24: 4} prime={12: 451, 16: 40, 24: 1} maxv2=19
B/7177 n=497100 nsub=124275 hits=17192 rung={12: 10678, 16: 934, 24: 5} win={12: 10678, 16: 934, 24: 5} prime={12: 593, 16: 55, 24: 1} maxv2=19
B/7177 n=623700 nsub=155925 hits=21537 rung={12: 13395, 16: 1152, 24: 6} win={12: 13395, 16: 1152, 24: 6} prime={12: 749, 16: 73, 24: 1} maxv2=19
B/7177 n=726900 nsub=181725 hits=25167 rung={12: 15583, 16: 1337, 24: 6} win={12: 15583, 16: 1337, 24: 6} prime={12: 879, 16: 91, 24: 1} maxv2=19
B/7177 n=825900 nsub=206475 hits=28636 rung={12: 17742, 16: 1528, 24: 8} win={12: 17742, 16: 1528, 24: 8} prime={12: 1012, 16: 102, 24: 1} maxv2=19
B/7177 n=923400 nsub=230850 hits=31968 rung={12: 19820, 16: 1697, 24: 9} win={12: 19820, 16: 1697, 24: 9} prime={12: 1132, 16: 109, 24: 1} maxv2=19
B/7177 n=1027500 nsub=256875 hits=35506 rung={12: 22086, 16: 1919, 24: 9} win={12: 22086, 16: 1919, 24: 9} prime={12: 1251, 16: 118, 24: 1} maxv2=19
B/7177 n=1139100 nsub=284775 hits=39410 rung={12: 24462, 16: 2128, 24: 10} win={12: 24462, 16: 2128, 24: 10} prime={12: 1377, 16: 134, 24: 1} maxv2=19
B/7177 n=1234800 nsub=308700 hits=42788 rung={12: 26548, 16: 2326, 24: 12} win={12: 26548, 16: 2326, 24: 12} prime={12: 1515, 16: 142, 24: 1} maxv2=19
B/7177 n=1343400 nsub=335850 hits=46625 rung={12: 28841, 16: 2540, 24: 13} win={12: 28841, 16: 2540, 24: 13} prime={12: 1646, 16: 156, 24: 1} maxv2=19
B/7177 n=1453500 nsub=363375 hits=50463 rung={12: 31198, 16: 2732, 24: 14} win={12: 31198, 16: 2732, 24: 14} prime={12: 1779, 16: 166, 24: 1} maxv2=19
