family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	32	1	2147483713	0.9999999563325304	12977353472	858881	3.02152556180954	1.0071752077496219	1.0107628117338578	1.510762826632513	True	T1a/s=+1.00
M4	32	1	4294968001	-2.368120277651542e-07	8563139840	429825	1.9937613606452942	0.9968807622554832	0.9937615239982309	1.9937616879124564	True	T1b/above
M4	32	1	4294971841	-1.5266811246306133e-06	8388469504	434433	1.9530927538871765	0.9765468937551465	0.953093762686397	1.953094820679763	True	T1b/above
M4	32	1	4294962689	1.5475087842276025e-06	8534139200	430081	1.98700912296772	0.9935040287575143	0.9870080644814248	1.9870069916008437	True	T1b/below
M2	32	2	63617	0.08575056087373412	8701473280	459905	2.025969624519348	0.9828888983867696	0.9667652069087675	1.9090593873097246	True	T4/R2-sample
M4	32	1	11139767297	-1.3750000448396662	5784233216	164673	1.3467467427253723	0.971992439036128	0.8993498109869484	3.4930290006923896	True	T1c/s=-1.375
M4	32	1	5569883713	-0.37500006154627386	7246494976	328641	1.6872060894966125	0.9526288547835716	0.8911960772827264	2.188035687050224	True	T1c/s=-0.375
M2	32	2	33601	1.9275669014660863	20775408000	1646465	4.837151616811752	1.0068733946483706	1.008680218539731	1.2715523482164361	True	T4/R2-sample
M4	32	1	2784942913	0.6249993911507339	10703365632	663809	2.492071509361267	0.9802775296277986	0.9674890843807633	1.6159091351285748	True	T1c/s=+0.625
M4	32	1	1392471937	1.6249988933201713	18187664384	1334337	4.23464560508728	1.0367803378095808	1.0487048961858096	1.3729150333032996	True	T1c/s=+1.625
