family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	32	1	3037001089	0.4999997201904165	10181601536	612097	2.3705888390541077	0.9819301596402752	0.9691528505058316	1.6762597686095562	True	T1a/s=+0.50
M4	32	1	4294968257	-3.228033378377404e-07	8391762688	431425	1.9538595080375671	0.9769298634266386	0.9538597216859569	1.9538599452141177	True	T1b/above
M4	32	1	4294966657	2.1464242649926746e-07	9511274752	425089	2.2145162224769592	1.1072580289991192	1.2145160420654924	2.2145158930039344	True	T1b/below
M4	32	1	4294961921	1.805483059058588e-06	8445381376	437505	1.9663435816764832	0.983171175749913	0.9663423725565874	1.9663411208668837	True	T1b/below
M4	32	1	10215211649	-1.2500000444571953	5987651072	173825	1.3941086530685425	0.9814568798744012	0.937353657729651	3.315767960808583	True	T1c/s=-1.250
M2	32	2	67777	-0.09701632011633876	8235670528	407361	1.9175164699554443	0.9909827028447182	0.9813381698287648	2.050897356530116	True	T4/R2-sample
M4	32	1	5107607809	-0.2500006049992294	8383074560	364865	1.95183664560318	1.0602644469953886	1.131931386214471	2.321138999651924	True	T1c/s=-0.250
M2	32	2	33857	1.905666951661896	20552106880	1616065	4.785160273313522	1.0080768893519674	1.0102325540979842	1.2771254939015861	True	T4/R2-sample
M4	32	1	2553803009	0.7499999008867704	11568544512	719553	2.693511664867401	1.0043698195714768	1.006968130013425	1.6015717281296311	True	T1c/s=+0.750
M4	32	1	1276901761	1.7499996110827105	19138440704	1453505	4.456015467643738	1.0211822891908118	1.0274798231443873	1.324781681801548	True	T1c/s=+1.750
