family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	32	1	1518502081	1.4999982603952127	16215262720	1217153	3.7754100561141968	0.986152614909334	0.9812568190551808	1.3348106357356846	True	T1a/s=+1.50
M2	32	2	65729	-0.008484831250868297	8984537088	432001	2.0918755531311035	1.0490134717238122	1.0983160526219975	2.1042146176530463	True	T4/R2-sample
M4	32	1	12148002497	-1.500000059035031	6289826816	157377	1.4644644260406494	1.0819406548423514	1.3137038351556252	4.14213107533508	True	T1a/s=-1.50
M2	32	2	65089	0.019747742025710835	8721158912	431425	2.0305530428886414	1.0083280309864777	1.0165428437613713	2.002948007760892	True	T4/R2-sample
M4	32	1	4294971073	-1.2687073933648207e-06	8915238784	432577	2.075740784406662	1.0378708486762618	1.075741730665016	2.0757426098158915	True	T1b/above
M4	32	1	4294962817	1.5045130759006042e-06	8270764800	403777	1.9256874918937683	0.9628432440086567	0.9256865267575277	1.9256854836935466	True	T1b/below
M4	32	1	13247490241	-1.6250000134682239	6085914624	138753	1.416987419128418	1.0700625592509625	1.2861650359839338	4.370586715294862	True	T1c/s=-1.625
M2	32	2	63809	0.07705539167828235	8832672896	458689	2.0565169155597687	1.0008049678452062	1.0015680697691562	1.9495586362608717	True	T4/R2-sample
M4	32	1	6623745281	-0.6250000484261733	6825185152	281537	1.589112251996994	0.9640216011621087	0.908535323118071	2.4507462000810474	True	T1c/s=-0.625
M2	32	2	33409	1.9441016399152318	24017661248	1648705	5.592047527432442	1.1534796935551281	1.1933654667402716	1.4532420159391772	True	T4/R2-sample
M4	32	1	3311872769	0.37499989559754354	9639839488	563329	2.244450032711029	0.9771906444958242	0.9596022257293618	1.7307076940119304	True	T1c/s=+0.375
M4	32	1	1655936897	1.3749994490942221	15481771776	1116225	3.6046308875083923	1.0030477880513327	1.0042228714319006	1.3897757247767883	True	T1c/s=+1.375
