family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	32	1	8589934721	-1.0000000216657838	6407243264	214785	1.4918025732040405	0.9945350538583818	0.98360516140846	2.9836051912145996	True	T1a/s=-1.00
M2	32	2	65537	-4.402722272089932e-05	6989138560	411009	1.6272856295108795	0.8136552299595223	0.6273047730411919	1.6273352907060918	True	T4/R2-sample
M4	32	1	4294969729	-8.172532659500575e-07	8353753216	452673	1.9450097382068634	0.9725051446673671	0.9450102737531306	1.9450108400100594	True	T1b/above
M2	32	2	65921	-0.016901014896568256	11467733504	443201	2.6700397729873657	1.3428396033278513	1.6897191528203421	2.7015029313272043	True	T4/R2-sample
M4	32	1	4294964929	7.950840767989575e-07	8455664384	430337	1.968737781047821	0.9843686193905961	0.9687372473921649	1.9687366960564796	True	T1b/below
M2	32	2	64577	0.042534400051952304	8392662656	436673	1.954069048166275	0.9626328086020882	0.9263512173413576	1.897298989622986	True	T4/R2-sample
M4	32	1	14446491649	-1.7500001235972604	5440500736	129089	1.2667152881622314	0.9764230141728023	0.8971197959020326	4.260705744870078	True	T1c/s=-1.750
M4	32	1	7223245313	-0.7500000214356319	6830640896	253825	1.5903825163841248	0.9973529269089851	0.9929010982955051	2.674693953559914	True	T1c/s=-0.750
M2	32	2	67073	-0.06688902204813019	8962084864	388801	2.0866479873657227	1.067505966111918	1.138215464954842	2.1856710141627733	True	T4/R2-sample
M4	32	1	3611623297	0.24999972271092474	9313935360	510785	2.168569564819336	0.990573151642789	0.9826461471266372	1.8235427237736679	True	T1c/s=+0.250
M2	32	2	32833	1.9942820866544047	21327906688	1719553	4.965790241956711	0.9963107838150098	0.9953848170962776	1.2463776218630533	True	T4/R2-sample
M4	32	1	1805811649	1.2499997223114683	14358186752	1009345	3.343025863170624	0.9895252888254449	0.9851212144379768	1.4055695027629362	True	T1c/s=+1.250
