family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	32	1	4294967681	-1.2932288484535093e-07	8414969600	430081	1.9592627882957458	0.9796314381688951	0.959262874507214	1.959262963923666	True	T1a/s=+0.00
M4	32	1	4294968833	-5.162837624084204e-07	8522925824	438401	1.9843983054161072	0.9921993303580703	0.9843986579227713	1.9843990155542723	True	T1b/above
M4	32	1	4294966337	3.2213160139349384e-07	8339749376	434241	1.9417492151260376	0.9708744992853634	0.9417490050672208	1.9417487815633656	True	T1b/below
M4	32	1	4294960321	2.342929615650746e-06	8439170432	426433	1.964897483587265	0.9824479441620538	0.9648959168244498	1.9648942926060529	True	T1b/below
M4	32	1	9367390273	-1.1250000273118346	6170398208	197185	1.4366577863693237	0.9850228342132141	0.9523574033794162	3.1333729097772656	True	T1c/s=-1.125
M2	32	2	63361	0.09738503080923522	12345510272	478273	2.874413102865219	1.3887176890355224	1.7520621038998996	2.6867878055337258	True	T4/R2-sample
M4	32	1	4683696257	-0.12500037245376916	11700545024	392641	2.7242454290390015	1.42109547208695	1.8803034592465575	2.9708114730052952	True	T1c/s=-0.125
M2	32	2	34369	1.8623594895335778	19599252736	1576065	4.563306629657745	0.9843159071913387	0.9800023721088025	1.2550284849083346	True	T4/R2-sample
M4	32	1	2341847617	0.8749999426557302	11896006016	787457	2.7697547376155853	0.977327772126293	0.9649656517255316	1.5102195395062488	True	T1c/s=+0.875
M4	32	1	1170923777	1.8749999814668747	19804331904	1581953	4.611055344343185	0.9877976470136209	0.9844709568980218	1.257097893337337	True	T1c/s=+1.875
