family	N	kappa	p	SIGMA	TNUM	NKER	TMASSf	CRATIO	EXCESS	ZFRATIO	ZFLOOR_OK	tag
M4	32	1	6074003393	-0.5000005683959614	7558394880	304641	1.7598259449005127	1.0308823394385456	1.0745565799273786	2.4887706992251672	True	T1a/s=-0.50
M4	32	1	4294969153	-6.237728769065143e-07	8473272064	430209	1.9728373885154724	0.9864189076197262	0.9728378093642808	1.9728382415042796	True	T1b/above
M4	32	1	4294965313	6.660970228722363e-07	8736112640	431745	2.0340347290039062	1.0170171298402266	1.0340342518275525	2.0340337898836314	True	T1b/below
M2	32	2	64513	0.045395426938057426	8320924928	449857	1.9373663067817688	0.9534442581522361	0.908330618498978	1.8773547998862883	True	T4/R2-sample
M4	32	1	15754010689	-1.8750001085678747	5556853760	117249	1.2938058376312256	1.0166418962502326	1.0776846454503506	4.745701094049244	True	T1c/s=-1.875
M4	32	1	7877005057	-0.8750000559114639	6628772608	235777	1.54338139295578	0.9987882559719097	0.9965659075390896	2.8305740647931543	True	T1c/s=-0.875
M2	32	2	68161	-0.11331776251682868	8443820288	391617	1.9659801125526428	1.0215751342509836	1.044913237263282	2.1266262282520465	True	T4/R2-sample
M4	32	1	3938502593	0.12499992046183195	8684223232	473153	2.021953284740448	0.9672068232716322	0.9371353459573019	1.8541394394997326	True	T1c/s=+0.125
M2	32	2	35201	1.7933424130311586	18661977344	1487809	4.345080196857452	0.972887328451631	0.9650652448344654	1.2535681168328032	True	T4/R2-sample
M4	32	1	1969251649	1.1249996622164993	13499098624	939457	3.143003821372986	0.988050627441807	0.982571814682946	1.4410739434072872	True	T1c/s=+1.125
