M4	32	1	8925216449	-1.0552400109277045	30650740736	228865	7.136431694030762	4.817951004019592	12.751897123288407	14.829961010890148	True	umin5/predcr2.3502
M4	32	1	6893348353	-0.6825577772446323	27673624576	495425	6.443267822265625	3.969828080287697	8.736350873086833	10.341333605012075	True	umin5/predcr2.2322
M4	32	1	5080241857	-0.24225003554839475	30356408576	387521	7.067902147769928	3.8299574708283783	7.177332994169165	8.360168973980702	True	umin5/predcr2.0837
M4	32	1	4191854593	0.03505847245806848	35408044800	466689	8.244077861309052	4.071957218383651	7.070163512147992	8.046155713493462	True	umin5/predcr1.9878
M4	32	1	3693023041	0.2178448823782162	48554419200	659201	11.304956674575806	5.226529292175046	8.86070598954705	9.720554919148606	True	umin5
M4	32	1	3188336449	0.4298432683502327	37095547392	577921	8.636980175971985	3.6798718382133218	5.6692544047281075	6.411596831013894	True	umin5
M4	32	1	2837232961	0.59816253298305	43330859520	744641	10.088751912117004	4.013367324666738	6.003982039497728	6.664576814605422	True	umin5
M4	32	1	2560041857	0.7464797473538312	45649192192	844545	10.62853080034256	3.969284814062151	5.739145417704668	6.335201609714577	True	umin5
M4	32	1	2292195137	0.9059172785338134	46403501568	912577	10.804157137870789	3.7596213402152308	5.232412675172946	5.76610594308266	True	umin5
M4	32	1	2121973697	1.0172403726276258	42275444992	970113	9.84301906824112	3.2549196864855796	4.368986438318642	4.863046938990499	True	umin5
M4	32	1	2003887297	1.0998457755202828	58417839104	1134209	13.601463079452515	4.3271040293811875	5.879418876582946	6.3459852443843605	True	umin5
M4	32	1	1866576577	1.2022524490566937	49446646528	1082305	11.512694537639618	3.487652836453577	4.568777370658408	5.003373595446804	True	umin5
M4	32	1	1747047233	1.29772853266822	66113907328	1294401	15.393343597650528	4.450982071338313	5.85472469957274	6.261490829962683	True	umin5
M4	32	1	1582598657	1.4403517079536954	44796046912	1216001	10.429892435669899	2.808362151296476	3.474702850873662	3.8431803140197043	True	umin5
M4	32	1	1416056641	1.6007681729265073	44857495936	1300161	10.444199651479721	2.589654402108208	3.1137656510159166	3.443467029465303	True	umin5
M4	32	1	1297511617	1.7268996905032132	42270955072	1456577	9.841973677277565	2.2834373417259743	2.6711643594659433	2.9732648237784973	True	umin5
M4	32	1	1240209601	1.792063182845812	43926512768	1450433	10.227438241243362	2.2915558687186306	2.66450399115893	2.9532627902050903	True	umin5
M4	32	1	1083295937	1.9872197308422912	50040395008	1694529	11.650937378406525	2.346745144263928	2.6864272518911507	2.938651741545	True	umin5
M2	32	2	33857	1.905666951661896	20552106880	1616065	4.785160273313522	1.0080768893519674	1.0102325540979842	1.2771254939015861	True	k2band
M2	32	2	36097	1.7208173597493364	18144862720	1440833	4.224680066108704	0.9833456453776002	0.9782931006633719	1.281669894529815	True	k2band
M2	32	2	37441	1.6153373050448714	17073959680	1323265	3.975341022014618	0.9782246872575513	0.9711174728159925	1.297506100113443	True	k2band
M2	32	2	39041	1.494595227488638	16127478016	1202369	3.7549710869789124	0.983530075102193	0.9776852216839713	1.332565614240589	True	k2band
M2	32	2	40897	1.3605852046336615	14995518976	1108225	3.491416335105896	0.9785652580203794	0.9702180487459581	1.3596423429862143	True	k2band
M2	32	2	43201	1.2024458254595736	14254638080	994177	3.3189165592193604	1.0053378239716966	1.0076573112036171	1.4421952881820435	True	k2band
M2	32	2	45121	1.07697715688807	13232495616	911361	3.080930471420288	0.9907767379868987	0.9864047182140143	1.4604257059662795	True	k2band
M2	32	2	46337	1.0002459554833933	12272420224	849857	2.857395499944687	0.9523569169039707	0.9285394361804508	1.42845420155506	True	k2band
M2	32	2	48449	0.8716414642098442	13393694976	786241	3.11846262216568	1.1020301174206149	1.1577920940882618	1.7043167677518556	True	k2band
M2	32	2	50753	0.7375890364156596	11301841024	720449	2.631414920091629	0.9865140941775211	0.9784260465839935	1.578166820028424	True	k2band
M2	32	2	52609	0.6339559861749038	11044681728	662465	2.571540355682373	1.0077301826235756	1.012711566221901	1.6571185405345847	True	k2band
M2	32	2	54401	0.5373088981785124	10381389824	627521	2.4171056747436523	0.9860654554622316	0.9764637875138681	1.6655188130968932	True	k2band
M2	32	2	57793	0.36278571831627104	9997164288	554753	2.3276461958885193	1.018259592628023	1.0324593754153724	1.8101209075714348	True	k2band
M2	32	2	60289	0.2407856410651732	9038689920	505985	2.1044839918613434	0.964635726185295	0.9347074954027262	1.780991825309133	True	k2band
M2	32	2	62017	0.15924776300209587	9263686144	480257	2.1568700075149536	1.0189753833636384	1.0359676848712198	1.931459553120368	True	k2band
M2	32	2	63809	0.07705539167828235	8832672896	458689	2.0565169155597687	1.0008049678452062	1.0015680697691562	1.9495586362608717	True	k2band
M2	32	2	65921	-0.016901014896568256	11467733504	443201	2.6700397729873657	1.3428396033278513	1.6897191528203421	2.7015029313272043	True	k2band
M2	32	2	69313	-0.16167668392838408	8244249600	380545	1.9195139408111572	1.0134786956458992	1.0285557811733195	2.147142172377227	True	k2band
M2	32	2	70913	-0.2275250215407425	8065559040	369537	1.8779093027114868	1.0128420551505621	1.0278778498448193	2.1987024967880964	True	k2band
M2	32	2	75329	-0.4018355141727028	7432580992	349057	1.7305326163768768	0.9849950762819019	0.9651707546515929	2.286358519065906	True	k2band
M2	32	2	77249	-0.47445727356324596	7107917056	308417	1.654940903186798	0.9623218116675535	0.9099719083795876	2.2993673539858	True	k2band
M2	32	2	78593	-0.5242264040410163	7091641600	299201	1.6511514782905579	0.9739399815505246	0.9364614478722466	2.374623655490495	True	k2band
M2	32	2	80833	-0.6053135434905101	7089959936	283201	1.6507599353790283	0.9960366513681398	0.9900071720508639	2.5113165180138077	True	k2band
M2	32	2	83009	-0.6819602886795479	7048654848	268865	1.6411428451538086	1.0109806543046453	1.0285971175498363	2.6329152892827565	True	k2band
M2	32	2	84737	-0.7414088649392099	6820398080	256193	1.5879976749420166	0.9936443813944456	0.9830190096058905	2.654826656361248	True	k2band
M2	32	2	87041	-0.8188150222467598	6920937216	242305	1.6114062666893005	1.0283991755722608	1.0784940872644786	2.84245063402965	True	k2band
M2	32	2	88897	-0.879694225822	6870290688	234305	1.5996142029762268	1.036366846316848	1.103281308288613	2.9432665894935854	True	k2band
M2	32	2	91969	-0.9777200665924184	6558496512	221761	1.527018964290619	1.0127587420586974	1.0378851799961633	3.0072359053997113	True	k2band
M2	32	2	93377	-1.0215592364379873	6259954176	209793	1.457509160041809	0.9765007953835404	0.9287947809254427	2.958906660052358	True	k2band
M2	32	2	95233	-1.078347920591952	7718713344	202753	1.7971529960632324	1.219590519691956	1.683281508956262	3.794898120277886	True	k2band
M2	32	2	98369	-1.1718322318414423	6236470784	192897	1.452041506767273	1.005668306735395	1.0184388683108536	3.271415315650387	True	k2band
M2	32	2	100609	-1.2367996839039606	6668184576	183553	1.5525577068328857	1.0900397998083229	1.3022412386439304	3.658992799738415	True	k2band
M2	32	2	102913	-1.3021314196719018	6022304384	172161	1.4021770060062408	0.997616815496506	0.9917400510721057	3.4576693208646785	True	k2band
M2	32	2	102913	-1.3021314196719018	6022304384	172161	1.4021770060062408	0.997616815496506	0.9917400510721057	3.4576693208646785	True	k2band
M2	32	2	106753	-1.4078341756716242	5740307456	165697	1.336519479751587	0.970689057708423	0.8929158348182834	3.546301116406021	True	k2band
M2	32	2	106753	-1.4078341756716242	5740307456	165697	1.336519479751587	0.970689057708423	0.8929158348182834	3.546301116406021	True	k2band
M2	32	2	108289	-1.4490543516369812	5828307456	156481	1.3570085763931274	0.9932276185488161	0.9747370512015766	3.705027344901001	True	k2band
M2	32	2	108289	-1.4490543516369812	5828307456	156481	1.3570085763931274	0.9932276185488161	0.9747370512015766	3.705027344901001	True	k2band
M2	32	2	110273	-1.5014401384485083	5855128064	150529	1.3632532358169556	1.0074287550412147	1.0284614322374581	3.8597133813027154	True	k2band
M2	32	2	110273	-1.5014401384485083	5855128064	150529	1.3632532358169556	1.0074287550412147	1.0284614322374581	3.8597133813027154	True	k2band
M2	32	2	113153	-1.5758306187946332	5671288064	146241	1.3204496502876282	0.9887676153256713	0.9552830818322292	3.936353838754872	True	k2band
M2	32	2	113153	-1.5758306187946332	5671288064	146241	1.3204496502876282	0.9887676153256713	0.9552830818322292	3.936353838754872	True	k2band
M2	32	2	115777	-1.6419783073128684	5725350912	140289	1.3330371379852295	1.009557845074774	1.039387258235753	4.160322251255224	True	k2band
M2	32	2	115777	-1.6419783073128684	5725350912	140289	1.3330371379852295	1.009557845074774	1.039387258235753	4.160322251255224	True	k2band
M2	32	2	118529	-1.7097611099491132	6291255040	136833	1.4647969603538513	1.1218388387498481	1.5203817883627504	4.791448334681714	True	k2band
M2	32	2	118529	-1.7097611099491132	6291255040	136833	1.4647969603538513	1.1218388387498481	1.5203817883627504	4.791448334681714	True	k2band
