p	SIGMA	UMIN	H	PREDCR_est	PREDCR_exact	BONUS	AU
15865619521	-1.885185	6	0.270709	1.786962			
4740195457	-0.142299	6	0.906074	1.786958			
2785497217	0.624712	5	1.541903	1.786812			
15814938817	-1.880569	6	0.271577	1.786425			
15803905409	-1.879562	6	0.271766	1.786308			
15799634177	-1.879172	6	0.271840	1.786263			
15778572353	-1.877248	6	0.272203	1.786038			
15769878209	-1.876452	6	0.272353	1.785946			
15749147521	-1.874555	6	0.272711	1.785724			
15740558017	-1.873768	6	0.272860	1.785632			
15711339713	-1.871087	6	0.273367	1.785319			
15694268609	-1.869519	6	0.273665	1.785136			
15691496257	-1.869264	6	0.273713	1.785106			
15673713089	-1.867628	6	0.274024	1.784915			
15655149121	-1.865918	6	0.274349	1.784715			
15634643777	-1.864027	6	0.274708	1.784493			
15572020097	-1.858237	6	0.275813	1.783814			
15553188097	-1.856491	6	0.276147	1.783609			
15522569473	-1.853648	6	0.276692	1.783274			
15399374209	-1.842153	6	0.278905	1.781919			
2756484097	0.639818	6	1.558132	1.781820			
15332798209	-1.835902	6	0.280116	1.781179			
15331572097	-1.835787	6	0.280139	1.781165			
15313399681	-1.834076	6	0.280471	1.780963			
15302814913	-1.833078	6	0.280665	1.780844			
15274906561	-1.830445	6	0.281178	1.780532			
15259463617	-1.828985	6	0.281463	1.780358			
15253932481	-1.828462	6	0.281565	1.780296			
15221661761	-1.825407	6	0.282162	1.779933			
15150235073	-1.818621	6	0.283492	1.779125			
15141504577	-1.817790	6	0.283655	1.779025			
2738566849	0.649226	5	1.568327	1.778717			
15109533121	-1.814740	6	0.284255	1.778661			
15091714049	-1.813038	6	0.284591	1.778458			
15050633921	-1.809105	6	0.285368	1.777987			
14986004353	-1.802897	6	0.286599	1.777243			
14945893889	-1.799030	6	0.287368	1.776779			
14937297217	-1.798200	6	0.287533	1.776679			
14920181569	-1.796546	6	0.287863	1.776480			
14894783681	-1.794088	6	0.288354	1.776184			
14843682241	-1.789130	6	0.289346	1.775587			
14812216961	-1.786069	6	0.289961	1.775217			
14791044161	-1.784005	6	0.290376	1.774968			
14765407297	-1.781502	6	0.290880	1.774665			
14736803969	-1.778705	6	0.291445	1.774326			
14694151361	-1.774523	6	0.292291	1.773820			
2709394817	0.664677	5	1.585213	1.773631			
14660983297	-1.771263	6	0.292952	1.773424			
14646709313	-1.769858	6	0.293238	1.773253			
14638461121	-1.769045	6	0.293403	1.773154			
14632489601	-1.768456	6	0.293523	1.773083			
14583857921	-1.763653	6	0.294501	1.772498			
14489824961	-1.754321	6	0.296413	1.771359			
14397537601	-1.745103	6	0.298313	1.770231			
14357123329	-1.741048	6	0.299152	1.769733			
14328146369	-1.738133	6	0.299757	1.769374			
14299913281	-1.735287	6	0.300349	1.769024			
14279639489	-1.733241	6	0.300776	1.768772			
14278326721	-1.733108	6	0.300803	1.768756			
14230716737	-1.728289	7	0.301810	1.768161			
14208426497	-1.726028	6	0.302283	1.767882			
14174553473	-1.722584	6	0.303005	1.767456			
14051366657	-1.709991	6	0.305662	1.765895			
14044023937	-1.709237	6	0.305822	1.765801			
14042568577	-1.709088	6	0.305853	1.765783			
14041966849	-1.709026	6	0.305867	1.765775			
14025426817	-1.707326	6	0.306227	1.765564			
13970293697	-1.701643	6	0.307436	1.764856			
13965822721	-1.701182	6	0.307534	1.764798			
13911048001	-1.695512	6	0.308745	1.764091			
13868057729	-1.691047	6	0.309702	1.763532			
13826319041	-1.686698	6	0.310637	1.762988			
13820001409	-1.686039	6	0.310779	1.762905			
13813427777	-1.685352	6	0.310927	1.762819			
13804439809	-1.684413	6	0.311129	1.762701			
13767132481	-1.680509	6	0.311973	1.762211			
13762491713	-1.680023	6	0.312078	1.762150			
13651830529	-1.668375	6	0.314607	1.760683			
13641189889	-1.667250	6	0.314853	1.760541			
13618191617	-1.664816	6	0.315385	1.760234			
13530293377	-1.655474	6	0.317433	1.759052			
13525630721	-1.654977	6	0.317543	1.758989			
13524048833	-1.654808	6	0.317580	1.758967			
2624020417	0.710868	5	1.636789	1.758498			
13475356801	-1.649604	6	0.318728	1.758307			
13308249793	-1.631602	6	0.322730	1.756012			
13237695553	-1.623933	6	0.324450	1.755031			
13180749761	-1.617713	6	0.325852	1.754232			
13166441089	-1.616146	6	0.326206	1.754031			
13139480513	-1.613189	6	0.326875	1.753651			
13093205953	-1.608099	6	0.328030	1.752995			
13057569793	-1.604167	6	0.328925	1.752488			
13028114689	-1.600909	6	0.329669	1.752067			
12977080321	-1.595247	6	0.330966	1.751334			
12952947521	-1.592561	6	0.331582	1.750986			
4301989441	-0.002357	6	0.998368	1.750613			
12910368833	-1.587811	6	0.332676	1.750370			
12898804481	-1.586518	6	0.332974	1.750202			
12895566337	-1.586156	6	0.333058	1.750155			
12875793793	-1.583942	6	0.333569	1.749867			
12852853121	-1.581370	6	0.334165	1.749533			
12843940673	-1.580369	6	0.334396	1.749403			
12821446721	-1.577840	6	0.334983	1.749073			
12809463617	-1.576491	6	0.335296	1.748897			
12788661953	-1.574146	6	0.335842	1.748592			
12781622209	-1.573352	6	0.336027	1.748488			
12765185281	-1.571495	6	0.336459	1.748246			
4260039233	0.011780	6	1.008199	1.746938			
2560041857	0.746480	5	1.677694	1.746911			
12669064129	-1.560591	6	0.339012	1.746819			
12624397633	-1.555496	6	0.340212	1.746151			
12590000513	-1.551559	6	0.341141	1.745634			
12568783681	-1.549126	6	0.341717	1.745314			
12555585793	-1.547610	6	0.342076	1.745114			
12512377793	-1.542637	6	0.343257	1.744459			
12486413441	-1.539640	6	0.343971	1.744064			
12485164033	-1.539496	6	0.344006	1.744044			
12464189057	-1.537070	6	0.344585	1.743724			
12463531841	-1.536994	6	0.344603	1.743714			
12460250497	-1.536614	6	0.344693	1.743664			
12456749761	-1.536209	6	0.344790	1.743610			
12406793857	-1.530411	6	0.346179	1.742843			
12402850561	-1.529953	6	0.346289	1.742783			
12398840513	-1.529486	6	0.346401	1.742721			
2534721281	0.760820	5	1.694453	1.742266			
12353643713	-1.524218	6	0.347668	1.742022			
12335772161	-1.522129	6	0.348172	1.741745			
12327677249	-1.521182	6	0.348400	1.741619			
12284229569	-1.516088	6	0.349633	1.740942			
12266192833	-1.513968	6	0.350147	1.740660			
12258625921	-1.513078	6	0.350363	1.740542			
12254111041	-1.512547	6	0.350492	1.740471			
12227976193	-1.509467	6	0.351241	1.740060			
12215829569	-1.508033	6	0.351590	1.739869			
12211563073	-1.507529	6	0.351713	1.739802			
12159845249	-1.501406	6	0.353209	1.738984			
12155785217	-1.500924	6	0.353327	1.738920			
12143053313	-1.499412	6	0.353697	1.738717			
12136727297	-1.498660	6	0.353882	1.738617			
12123106049	-1.497040	6	0.354279	1.738400			
12090738497	-1.493183	6	0.355228	1.737883			
12065774593	-1.490201	6	0.355963	1.737483			
12048458881	-1.488130	6	0.356474	1.737205			
12036187777	-1.486659	6	0.356838	1.737008			
12035908481	-1.486626	6	0.356846	1.737003			
12035646209	-1.486595	6	0.356854	1.736999			
12033566401	-1.486345	6	0.356916	1.736966			
12028994177	-1.485797	6	0.357051	1.736892			
12024895681	-1.485305	6	0.357173	1.736826			
12017857921	-1.484461	6	0.357382	1.736712			
2504482049	0.778135	5	1.714912	1.736672			
12015120577	-1.484132	6	0.357464	1.736668			
12007397761	-1.483204	6	0.357693	1.736543			
11998391809	-1.482122	6	0.357962	1.736398			
11995180289	-1.481736	6	0.358058	1.736346			
11978964353	-1.479784	6	0.358542	1.736083			
11964322369	-1.478020	6	0.358981	1.735845			
11946445057	-1.475862	6	0.359518	1.735555			
11936558017	-1.474668	6	0.359816	1.735393			
11913796417	-1.471914	6	0.360504	1.735022			
11905434817	-1.470901	6	0.360757	1.734885			
11894125249	-1.469530	6	0.361100	1.734700			
11889312577	-1.468946	6	0.361246	1.734621			
4116657473	0.061174	6	1.043314	1.734101			
11738115841	-1.450482	6	0.365899	1.732118			
11724376577	-1.448792	6	0.366328	1.731889			
4087669441	0.071369	6	1.050713	1.731453			
11694031681	-1.445053	6	0.367279	1.731380			
11675588929	-1.442776	6	0.367859	1.731070			
11659670401	-1.440808	6	0.368361	1.730801			
4062951041	0.080119	6	1.057105	1.729180			
11549737153	-1.427141	6	0.371867	1.728934			
11487364673	-1.419329	6	0.373886	1.727862			
11485743617	-1.419125	6	0.373939	1.727834			
4026729601	0.093039	6	1.066614	1.725825			
11358576641	-1.403063	6	0.378125	1.725623			
11314602881	-1.397467	6	0.379595	1.724850			
11301677953	-1.395818	6	0.380029	1.724622			
11269977793	-1.391766	6	0.381098	1.724062			
11269762177	-1.391738	6	0.381105	1.724058			
11251822529	-1.389440	6	0.381713	1.723739			
11237912897	-1.387655	6	0.382185	1.723492			
2433845569	0.819410	5	1.764684	1.723410			
11219974081	-1.385350	6	0.382797	1.723172			
11219631617	-1.385306	6	0.382808	1.723166			
11192088961	-1.381760	6	0.383750	1.722674			
3992695489	0.105284	6	1.075706	1.722646			
11173784513	-1.379399	6	0.384379	1.722346			
11145911809	-1.375796	6	0.385340	1.721844			
11118783553	-1.372280	6	0.386280	1.721355			
11112756929	-1.371498	6	0.386490	1.721246			
11077227137	-1.366878	6	0.387729	1.720602			
11074930049	-1.366579	6	0.387810	1.720560			
11071951489	-1.366190	6	0.387914	1.720506			
11032819841	-1.361083	6	0.389290	1.719792			
11018128129	-1.359160	6	0.389809	1.719523			
2412295169	0.832241	5	1.780448	1.719308			
10998607489	-1.356602	6	0.390501	1.719165			
10985835137	-1.354925	6	0.390955	1.718931			
10954579777	-1.350815	6	0.392070	1.718354			
10945393153	-1.349605	6	0.392400	1.718185			
10931344769	-1.347752	6	0.392904	1.717925			
10922175553	-1.346541	6	0.393234	1.717755			
10903802561	-1.344112	6	0.393896	1.717413			
10870843777	-1.339745	6	0.395091	1.716799			
10868632193	-1.339451	6	0.395171	1.716758			
10835111809	-1.334995	6	0.396393	1.716131			
3923234369	0.130604	6	1.094752	1.716075			
10788745729	-1.328808	6	0.398097	1.715258			
10770172033	-1.326322	6	0.398784	1.714907			
10760970881	-1.325089	6	0.399125	1.714733			
10760753473	-1.325060	6	0.399133	1.714729			
10663174657	-1.311918	6	0.402785	1.712868			
10649999233	-1.310134	6	0.403283	1.712614			
10619944961	-1.306057	6	0.404425	1.712035			
10596634369	-1.302887	6	0.405314	1.711585			
10580697217	-1.300716	6	0.405925	1.711276			
10542368257	-1.295480	6	0.407401	1.710530			
10499782081	-1.289640	7	0.409053	1.709697			
10499684801	-1.289627	6	0.409057	1.709695			
10470671873	-1.285635	6	0.410190	1.709124			
10422953089	-1.279045	6	0.412068	1.708181			
10407693313	-1.276931	6	0.412672	1.707878			
10393563137	-1.274971	6	0.413233	1.707597			
10368234113	-1.271451	6	0.414243	1.707092			
10366750081	-1.271245	6	0.414302	1.707062			
10337956033	-1.267232	6	0.415456	1.706486			
10316778817	-1.264274	6	0.416309	1.706061			
10299643841	-1.261875	6	0.417002	1.705716			
10293447041	-1.261007	6	0.417253	1.705591			
10272556673	-1.258076	6	0.418101	1.705168			
10271018881	-1.257860	6	0.418164	1.705137			
10264323457	-1.256919	6	0.418436	1.705002			
10254416449	-1.255526	6	0.418841	1.704801			
10212810689	-1.249661	6	0.420547	1.703954			
10204212097	-1.248446	6	0.420901	1.703779			
10187787073	-1.246122	6	0.421580	1.703443			
10172122049	-1.243902	6	0.422229	1.703122			
10150800833	-1.240875	6	0.423116	1.702683			
10137144769	-1.238932	6	0.423686	1.702402			
10129704961	-1.237873	6	0.423997	1.702249			
10102755521	-1.234030	6	0.425128	1.701691			
10073704001	-1.229875	6	0.426354	1.701088			
10032063553	-1.223899	6	0.428124	1.700219			
10014741953	-1.221406	6	0.428864	1.699856			
10009862209	-1.220703	6	0.429074	1.699754			
10006188737	-1.220174	6	0.429231	1.699677			
9991710017	-1.218084	6	0.429853	1.699373			
9985369153	-1.217169	6	0.430126	1.699239			
9978871489	-1.216230	6	0.430406	1.699102			
9977618177	-1.216048	6	0.430460	1.699076			
9971838337	-1.215212	6	0.430710	1.698954			
9963261377	-1.213971	6	0.431080	1.698773			
9962771009	-1.213900	6	0.431102	1.698762			
9960092609	-1.213512	6	0.431218	1.698706			
9945190657	-1.211352	6	0.431864	1.698390			
9919948673	-1.207686	6	0.432963	1.697855			
9909529537	-1.206169	6	0.433418	1.697633			
9909183041	-1.206119	6	0.433433	1.697626			
3730591169	0.203243	6	1.151283	1.697258			
9891723713	-1.203575	6	0.434198	1.697254			
9890103233	-1.203338	6	0.434269	1.697219			
9865161409	-1.199696	6	0.435367	1.696686			
9864053569	-1.199533	6	0.435416	1.696662			
9850479553	-1.197547	6	0.436016	1.696371			
9832774849	-1.194951	6	0.436801	1.695991			
2292195137	0.905917	5	1.873735	1.695958			
