1824001537	6	0,1,2,3,4,6	3
1824001537	6	0,1,2,3,4,6	6
1134601217	6	0,1,2,3,4,6	26
1134601217	6	0,1,2,3,4,6	31
1201514497	6	0,1,2,3,4,7	3
12017857921	6	0,1,2,3,4,7	8
1201514497	6	0,1,2,3,4,7	22
12017857921	6	0,1,2,3,4,7	29
2874197377	6	0,1,2,3,4,8	1
2874197377	6	0,1,2,3,4,8	4
1487367169	6	0,1,2,3,4,8	26
1487367169	6	0,1,2,3,4,8	31
2033054209	6	0,1,2,3,4,9	15
2033054209	6	0,1,2,3,4,9	26
2999850433	6	0,1,2,3,4,10	2
2999850433	6	0,1,2,3,4,10	7
1180651009	6	0,1,2,3,4,10	8
1180651009	6	0,1,2,3,4,10	13
5240915137	6	0,1,2,3,4,10	17
5240915137	6	0,1,2,3,4,10	20
1656006529	6	0,1,2,3,4,11	13
1656006529	6	0,1,2,3,4,11	24
1196832257	6	0,1,2,3,4,12	2
1196832257	6	0,1,2,3,4,12	7
1396643777	6	0,1,2,3,4,12	24
1396643777	6	0,1,2,3,4,12	29
5470923649	6	0,1,2,3,4,14	1
5470923649	6	0,1,2,3,4,14	4
1474511809	6	0,1,2,3,4,14	8
1474511809	6	0,1,2,3,4,14	13
5807059649	6	0,1,2,3,4,15	4
1417951681	6	0,1,2,3,4,15	6
1618700609	6	0,1,2,3,4,15	7
1812545857	6	0,1,2,3,4,15	13
5807059649	6	0,1,2,3,4,15	17
1618700609	6	0,1,2,3,4,15	18
1417951681	6	0,1,2,3,4,15	19
1812545857	6	0,1,2,3,4,15	24
6781610753	6	0,1,2,3,4,16	10
6781610753	6	0,1,2,3,4,16	15
3907781953	6	0,1,2,3,4,18	1
3907781953	6	0,1,2,3,4,18	4
3907781953	6	0,1,2,3,4,18	17
3907781953	6	0,1,2,3,4,18	20
6781610753	6	0,1,2,3,4,20	8
6781610753	6	0,1,2,3,4,20	13
1618700609	6	0,1,2,3,4,21	2
5807059649	6	0,1,2,3,4,21	4
1417951681	6	0,1,2,3,4,21	6
1812545857	6	0,1,2,3,4,21	10
5807059649	6	0,1,2,3,4,21	17
1417951681	6	0,1,2,3,4,21	19
1618700609	6	0,1,2,3,4,21	23
1812545857	6	0,1,2,3,4,21	31
1474511809	6	0,1,2,3,4,22	10
1474511809	6	0,1,2,3,4,22	15
5470923649	6	0,1,2,3,4,22	17
5470923649	6	0,1,2,3,4,22	20
1196832257	6	0,1,2,3,4,24	18
1196832257	6	0,1,2,3,4,24	23
1396643777	6	0,1,2,3,4,24	26
1396643777	6	0,1,2,3,4,24	31
1656006529	6	0,1,2,3,4,25	10
1656006529	6	0,1,2,3,4,25	31
5240915137	6	0,1,2,3,4,26	1
5240915137	6	0,1,2,3,4,26	4
1180651009	6	0,1,2,3,4,26	10
1180651009	6	0,1,2,3,4,26	15
2999850433	6	0,1,2,3,4,26	18
2999850433	6	0,1,2,3,4,26	23
2033054209	6	0,1,2,3,4,27	8
2033054209	6	0,1,2,3,4,27	29
2874197377	6	0,1,2,3,4,28	17
2874197377	6	0,1,2,3,4,28	20
1487367169	6	0,1,2,3,4,28	24
1487367169	6	0,1,2,3,4,28	29
1201514497	6	0,1,2,3,4,29	3
12017857921	6	0,1,2,3,4,29	15
1201514497	6	0,1,2,3,4,29	22
12017857921	6	0,1,2,3,4,29	26
1824001537	6	0,1,2,3,4,30	19
1824001537	6	0,1,2,3,4,30	22
1134601217	6	0,1,2,3,4,30	24
1134601217	6	0,1,2,3,4,30	29
16165770689	6	0,1,2,3,5,6	2
3433927169	6	0,1,2,3,5,6	3
3433927169	6	0,1,2,3,5,6	14
16165770689	6	0,1,2,3,5,6	15
8623601473	6	0,1,2,3,5,8	17
8623601473	6	0,1,2,3,5,8	28
2624891393	6	0,1,2,3,5,9	9
2624891393	6	0,1,2,3,5,9	20
4525167617	6	0,1,2,3,5,10	4
4525167617	6	0,1,2,3,5,10	9
8457145409	6	0,1,2,3,5,10	19
3790366081	6	0,1,2,3,5,10	23
3790366081	6	0,1,2,3,5,10	26
8457145409	6	0,1,2,3,5,10	30
3864511489	6	0,1,2,3,5,11	15
3864511489	6	0,1,2,3,5,11	18
8915730497	6	0,1,2,3,5,12	2
8915730497	6	0,1,2,3,5,12	15
4880914561	6	0,1,2,3,5,13	2
1645689217	6	0,1,2,3,5,13	9
1645689217	6	0,1,2,3,5,13	20
4880914561	6	0,1,2,3,5,13	31
2368065409	6	0,1,2,3,5,14	3
3182937281	6	0,1,2,3,5,14	7
3182937281	6	0,1,2,3,5,14	10
2368065409	6	0,1,2,3,5,14	14
12512377793	6	0,1,2,3,5,14	19
1086383873	6	0,1,2,3,5,14	23
1086383873	6	0,1,2,3,5,14	26
12512377793	6	0,1,2,3,5,14	30
4497203521	6	0,1,2,3,5,15	2
4497203521	6	0,1,2,3,5,15	31
6726367553	6	0,1,2,3,5,18	7
6726367553	6	0,1,2,3,5,18	10
2035377089	6	0,1,2,3,5,18	19
2035377089	6	0,1,2,3,5,18	30
10204212097	6	0,1,2,3,5,19	4
4081914113	6	0,1,2,3,5,19	9
7692981697	6	0,1,2,3,5,19	15
7692981697	6	0,1,2,3,5,19	18
4081914113	6	0,1,2,3,5,19	20
10204212097	6	0,1,2,3,5,19	25
1574461249	6	0,1,2,3,5,20	1
2278042241	6	0,1,2,3,5,20	7
2278042241	6	0,1,2,3,5,20	10
1574461249	6	0,1,2,3,5,20	12
12898804481	6	0,1,2,3,5,20	19
1328283329	6	0,1,2,3,5,20	23
1328283329	6	0,1,2,3,5,20	26
12898804481	6	0,1,2,3,5,20	30
10998607489	6	0,1,2,3,5,21	3
2982658433	6	0,1,2,3,5,21	9
2982658433	6	0,1,2,3,5,21	20
10998607489	6	0,1,2,3,5,21	30
13093205953	6	0,1,2,3,5,22	4
13093205953	6	0,1,2,3,5,22	9
5376998593	6	0,1,2,3,5,22	20
5376998593	6	0,1,2,3,5,22	25
7898620033	6	0,1,2,3,5,23	3
7898620033	6	0,1,2,3,5,23	30
16838651777	6	0,1,2,3,5,24	20
16838651777	6	0,1,2,3,5,24	25
3691337729	6	0,1,2,3,5,25	4
4626454529	6	0,1,2,3,5,25	15
4626454529	6	0,1,2,3,5,25	18
3691337729	6	0,1,2,3,5,25	25
3142680833	6	0,1,2,3,5,26	2
3142680833	6	0,1,2,3,5,26	15
2691902657	6	0,1,2,3,5,26	17
2691902657	6	0,1,2,3,5,26	28
7870824769	6	0,1,2,3,5,27	3
11269762177	6	0,1,2,3,5,27	7
11269762177	6	0,1,2,3,5,27	26
7870824769	6	0,1,2,3,5,27	30
1234305409	6	0,1,2,3,5,29	1
1097835329	6	0,1,2,3,5,29	2
1234305409	6	0,1,2,3,5,29	28
1097835329	6	0,1,2,3,5,29	31
8110292417	6	0,1,2,3,6,7	8
8110292417	6	0,1,2,3,6,7	29
6170228417	6	0,1,2,3,6,8	10
6170228417	6	0,1,2,3,6,8	15
9978871489	6	0,1,2,3,6,8	25
9978871489	6	0,1,2,3,6,8	28
4044429313	6	0,1,2,3,6,11	10
3992695489	6	0,1,2,3,6,11	11
14025426817	6	0,1,2,3,6,11	12
14025426817	6	0,1,2,3,6,11	25
3992695489	6	0,1,2,3,6,11	30
4044429313	6	0,1,2,3,6,11	31
2187000001	6	0,1,2,3,6,12	18
2187000001	6	0,1,2,3,6,12	23
8098471489	6	0,1,2,3,6,13	12
8098471489	6	0,1,2,3,6,13	25
6809321921	6	0,1,2,3,6,14	9
6809321921	6	0,1,2,3,6,14	12
9962771009	6	0,1,2,3,6,14	25
1406624129	6	0,1,2,3,6,14	26
9962771009	6	0,1,2,3,6,14	28
1406624129	6	0,1,2,3,6,14	31
1240910081	6	0,1,2,3,6,15	3
1428270017	6	0,1,2,3,6,15	4
13965822721	6	0,1,2,3,6,15	12
1428270017	6	0,1,2,3,6,15	17
1240910081	6	0,1,2,3,6,15	22
13965822721	6	0,1,2,3,6,15	25
6690722369	6	0,1,2,3,6,16	10
6690722369	6	0,1,2,3,6,16	15
4824305537	6	0,1,2,3,6,17	10
4824305537	6	0,1,2,3,6,17	31
2625820609	6	0,1,2,3,6,19	1
6947817281	6	0,1,2,3,6,19	2
2625820609	6	0,1,2,3,6,19	20
6947817281	6	0,1,2,3,6,19	23
2544241729	6	0,1,2,3,6,20	10
2544241729	6	0,1,2,3,6,20	15
1570266689	6	0,1,2,3,6,21	6
8968035521	6	0,1,2,3,6,21	9
3541573313	6	0,1,2,3,6,21	14
1570266689	6	0,1,2,3,6,21	19
3541573313	6	0,1,2,3,6,21	27
8968035521	6	0,1,2,3,6,21	28
4800686977	6	0,1,2,3,6,22	25
1174954817	6	0,1,2,3,6,22	27
4800686977	6	0,1,2,3,6,22	28
1174954817	6	0,1,2,3,6,22	30
2601290177	6	0,1,2,3,6,23	6
8766641537	6	0,1,2,3,6,23	10
3105511169	6	0,1,2,3,6,23	14
2601290177	6	0,1,2,3,6,23	19
3105511169	6	0,1,2,3,6,23	27
8766641537	6	0,1,2,3,6,23	31
4240481153	6	0,1,2,3,6,25	4
1634799233	6	0,1,2,3,6,25	10
4240481153	6	0,1,2,3,6,25	17
1634799233	6	0,1,2,3,6,25	31
7011069697	6	0,1,2,3,6,26	2
7011069697	6	0,1,2,3,6,26	7
5460275329	6	0,1,2,3,6,28	1
5460275329	6	0,1,2,3,6,28	4
1396233857	6	0,1,2,3,6,28	26
1396233857	6	0,1,2,3,6,28	31
2019160321	6	0,1,2,3,6,29	2
2019160321	6	0,1,2,3,6,29	12
2019160321	6	0,1,2,3,6,29	23
2019160321	6	0,1,2,3,6,29	25
1097835329	6	0,1,2,3,6,30	25
1234305409	6	0,1,2,3,6,30	26
1097835329	6	0,1,2,3,6,30	28
1234305409	6	0,1,2,3,6,30	31
1337169857	6	0,1,2,3,7,9	4
5125403137	6	0,1,2,3,7,9	10
5125403137	6	0,1,2,3,7,9	23
1337169857	6	0,1,2,3,7,9	25
6237730561	6	0,1,2,3,7,10	18
6237730561	6	0,1,2,3,7,10	31
5356177793	6	0,1,2,3,7,12	23
5356177793	6	0,1,2,3,7,12	26
4166337281	6	0,1,2,3,7,13	1
2575773953	6	0,1,2,3,7,13	4
2575773953	6	0,1,2,3,7,13	25
4166337281	6	0,1,2,3,7,13	28
14397537601	6	0,1,2,3,7,14	23
14397537601	6	0,1,2,3,7,14	26
2708789569	6	0,1,2,3,7,15	7
4787555713	6	0,1,2,3,7,15	9
4787555713	6	0,1,2,3,7,15	20
2708789569	6	0,1,2,3,7,15	26
2813430401	6	0,1,2,3,7,16	1
2813430401	6	0,1,2,3,7,16	12
2156996929	6	0,1,2,3,7,16	20
2156996929	6	0,1,2,3,7,16	25
1080945793	6	0,1,2,3,7,17	1
1080945793	6	0,1,2,3,7,17	28
2006128193	6	0,1,2,3,7,18	1
2006128193	6	0,1,2,3,7,18	12
1769753729	6	0,1,2,3,7,18	17
2606466689	6	0,1,2,3,7,18	20
2606466689	6	0,1,2,3,7,18	25
1769753729	6	0,1,2,3,7,18	28
1855698049	6	0,1,2,3,7,19	7
3466756481	6	0,1,2,3,7,19	15
3466756481	6	0,1,2,3,7,19	18
1855698049	6	0,1,2,3,7,19	26
4088543233	6	0,1,2,3,7,20	2
4088543233	6	0,1,2,3,7,20	15
1354768193	6	0,1,2,3,7,20	17
5259084289	6	0,1,2,3,7,20	18
1618410113	6	0,1,2,3,7,20	22
1618410113	6	0,1,2,3,7,20	27
1354768193	6	0,1,2,3,7,20	28
5259084289	6	0,1,2,3,7,20	31
6573448577	6	0,1,2,3,7,22	4
6573448577	6	0,1,2,3,7,22	9
1083958529	6	0,1,2,3,7,22	17
14042568577	6	0,1,2,3,7,22	18
5695401857	6	0,1,2,3,7,22	20
5695401857	6	0,1,2,3,7,22	25
1083958529	6	0,1,2,3,7,22	28
14042568577	6	0,1,2,3,7,22	31
1534242817	6	0,1,2,3,7,24	7
1534242817	6	0,1,2,3,7,24	10
1282406401	6	0,1,2,3,7,25	1
1282406401	6	0,1,2,3,7,25	28
1933225793	6	0,1,2,3,7,26	4
1933225793	6	0,1,2,3,7,26	9
16406454593	6	0,1,2,3,7,28	3
16406454593	6	0,1,2,3,7,28	14
16406454593	6	0,1,2,3,7,28	22
16406454593	6	0,1,2,3,7,28	27
1396233857	6	0,1,2,3,7,29	1
5460275329	6	0,1,2,3,7,29	7
5460275329	6	0,1,2,3,7,29	26
1396233857	6	0,1,2,3,7,29	28
8868976577	6	0,1,2,3,8,9	5
5141605057	6	0,1,2,3,8,9	15
8868976577	6	0,1,2,3,8,9	16
5141605057	6	0,1,2,3,8,9	26
5401862017	6	0,1,2,3,8,10	9
5401862017	6	0,1,2,3,8,10	12
1180267969	6	0,1,2,3,8,12	9
1180267969	6	0,1,2,3,8,12	12
2556753217	6	0,1,2,3,8,13	2
2390150401	6	0,1,2,3,8,13	4
2390150401	6	0,1,2,3,8,13	17
2556753217	6	0,1,2,3,8,13	23
6486328769	6	0,1,2,3,8,14	25
6486328769	6	0,1,2,3,8,14	28
1375772737	6	0,1,2,3,8,15	4
9991710017	6	0,1,2,3,8,15	7
7065552833	6	0,1,2,3,8,15	11
1670965633	6	0,1,2,3,8,15	12
1375772737	6	0,1,2,3,8,15	17
9991710017	6	0,1,2,3,8,15	18
1670965633	6	0,1,2,3,8,15	25
7065552833	6	0,1,2,3,8,15	30
1167788737	6	0,1,2,3,8,16	9
1167788737	6	0,1,2,3,8,16	12
8982461249	6	0,1,2,3,8,17	12
2172876737	6	0,1,2,3,8,17	15
8982461249	6	0,1,2,3,8,17	25
2172876737	6	0,1,2,3,8,17	26
14489824961	6	0,1,2,3,8,19	10
3431189569	6	0,1,2,3,8,19	15
3431189569	6	0,1,2,3,8,19	26
14489824961	6	0,1,2,3,8,19	31
6297988481	6	0,1,2,3,8,20	18
6297988481	6	0,1,2,3,8,20	23
1783606529	6	0,1,2,3,8,21	1
2243043137	6	0,1,2,3,8,21	11
1404350657	6	0,1,2,3,8,21	14
1783606529	6	0,1,2,3,8,21	20
1404350657	6	0,1,2,3,8,21	27
2243043137	6	0,1,2,3,8,21	30
1755440833	6	0,1,2,3,8,22	1
1755440833	6	0,1,2,3,8,22	4
1231085377	6	0,1,2,3,8,22	17
1231085377	6	0,1,2,3,8,22	20
1580427841	6	0,1,2,3,8,23	2
1580427841	6	0,1,2,3,8,23	23
16902549953	6	0,1,2,3,8,25	2
1259737217	6	0,1,2,3,8,25	9
16902549953	6	0,1,2,3,8,25	23
1259737217	6	0,1,2,3,8,25	28
2180665537	6	0,1,2,3,8,27	9
2180665537	6	0,1,2,3,8,27	10
2180665537	6	0,1,2,3,8,27	28
2180665537	6	0,1,2,3,8,27	31
11269762177	6	0,1,2,3,8,30	1
11269762177	6	0,1,2,3,8,30	4
7870824769	6	0,1,2,3,8,30	27
7870824769	6	0,1,2,3,8,30	30
1751349889	6	0,1,2,3,9,10	3
1751349889	6	0,1,2,3,9,10	14
4588168001	6	0,1,2,3,9,10	23
4588168001	6	0,1,2,3,9,10	26
13868057729	6	0,1,2,3,9,11	3
5337054977	6	0,1,2,3,9,11	10
5337054977	6	0,1,2,3,9,11	23
13868057729	6	0,1,2,3,9,11	30
2072020033	6	0,1,2,3,9,13	9
1211579521	6	0,1,2,3,9,13	15
1211579521	6	0,1,2,3,9,13	18
2072020033	6	0,1,2,3,9,13	20
4215464833	6	0,1,2,3,9,14	7
4215464833	6	0,1,2,3,9,14	10
1872111041	6	0,1,2,3,9,14	19
2333342849	6	0,1,2,3,9,14	23
2333342849	6	0,1,2,3,9,14	26
1872111041	6	0,1,2,3,9,14	30
1993084609	6	0,1,2,3,9,15	7
1993084609	6	0,1,2,3,9,15	26
2847859009	6	0,1,2,3,9,16	2
2847859009	6	0,1,2,3,9,16	15
1243778177	6	0,1,2,3,9,17	7
1243778177	6	0,1,2,3,9,17	26
2738916289	6	0,1,2,3,9,19	4
1210392577	6	0,1,2,3,9,19	10
1210392577	6	0,1,2,3,9,19	23
2738916289	6	0,1,2,3,9,19	25
1945129793	6	0,1,2,3,9,20	17
3810277697	6	0,1,2,3,9,20	19
1945129793	6	0,1,2,3,9,20	28
3810277697	6	0,1,2,3,9,20	30
1316366209	6	0,1,2,3,9,21	4
1316366209	6	0,1,2,3,9,21	25
1416092801	6	0,1,2,3,9,24	3
9340198849	6	0,1,2,3,9,24	4
9340198849	6	0,1,2,3,9,24	9
1416092801	6	0,1,2,3,9,24	14
4534386049	6	0,1,2,3,9,24	19
4534386049	6	0,1,2,3,9,24	30
4316202433	6	0,1,2,3,9,25	4
4316202433	6	0,1,2,3,9,25	25
1933225793	6	0,1,2,3,9,28	7
1933225793	6	0,1,2,3,9,28	10
7011069697	6	0,1,2,3,9,29	4
7011069697	6	0,1,2,3,9,29	25
2691902657	6	0,1,2,3,9,30	18
3142680833	6	0,1,2,3,9,30	20
3142680833	6	0,1,2,3,9,30	25
2691902657	6	0,1,2,3,9,30	31
2910123521	6	0,1,2,3,10,11	1
1265281921	6	0,1,2,3,10,11	10
2910123521	6	0,1,2,3,10,11	20
1265281921	6	0,1,2,3,10,11	31
1887604097	6	0,1,2,3,10,12	17
1887604097	6	0,1,2,3,10,12	20
2948200897	6	0,1,2,3,10,12	25
2532238913	6	0,1,2,3,10,12	26
2948200897	6	0,1,2,3,10,12	28
2532238913	6	0,1,2,3,10,12	31
3144338753	6	0,1,2,3,10,13	15
